smol;
1;cpp;4011;
1;asm;1567;
medium;
1;cpp;8013;
1;asm;5238;
big;
1;cpp;29767;
1;asm;23323;
smol;
1;cpp;4303;2731;2056;2577;2192;2197;2623;2009;2161;2174;2200;2052;2028;2504;2317;1949;1988;1985;2680;2387;2460;2275;2247;2314;2220;2151;2401;1979;2637;2016;2060;2553;2638;3038;2411;2647;2311;2209;2125;2704;2647;2430;2150;2828;2493;2524;2937;2966;2979;3008;2946;2149;2258;2829;2159;2120;2860;2895;2286;2916;2124;3235;3177;7055;4806;3395;3507;2829;3025;3114;2634;2326;4147;2570;2239;2851;3140;3305;3404;2904;3683;3648;3773;3152;4406;3486;4702;2916;3086;2546;2261;2636;3287;2634;2601;2512;2621;2410;2257;2777;
2;cpp;1948;2260;1776;3073;1942;1741;1721;1929;1791;2077;1937;1962;1756;2022;1663;1795;2379;2221;2062;1743;2182;2905;1914;1984;3060;1765;1892;1897;2585;1968;2107;2459;2319;2049;2058;2127;2078;2475;2404;2029;2102;2560;1735;1718;1787;2019;2373;1671;1803;1692;1751;1630;2436;2089;2446;1794;2138;2086;2033;1807;2282;2503;2003;3002;2007;2282;2232;2498;1857;2161;2027;1996;2218;1825;2348;2071;2114;1652;1911;1976;1749;2347;1961;2623;2267;2277;1905;2039;3208;2395;2912;2354;2588;2382;2442;1788;1904;1971;2536;2302;
4;cpp;2849;2043;2219;2132;1756;2047;2349;1863;1889;1896;2037;2043;1852;2454;1922;1886;2025;2080;2155;1876;2524;2092;1970;1935;2153;1964;2186;1767;1878;1870;1843;2007;2144;2017;1886;1802;2238;1949;1923;1714;1853;2319;1838;1861;1767;1880;2298;2027;2033;1884;1805;1968;2141;2073;2066;2210;3745;2679;2826;2225;1841;1923;2026;1934;1853;2212;1840;1859;1858;1870;2338;2385;2210;2121;2294;1889;2025;1976;1799;2139;2058;2010;1655;1901;1914;1982;1892;1969;2156;1909;2068;1804;1921;1916;1933;2383;1947;1851;2033;1891;
8;cpp;2960;2901;3084;2922;3034;2920;2710;2678;2759;3355;3147;2711;3054;2778;2843;2699;2822;2818;2748;3012;2846;2693;2797;3443;2643;3003;2846;2962;2837;4059;3131;3058;2759;3119;2904;3323;3610;2660;2828;3570;2921;3303;3060;3239;2643;3501;2926;3379;2719;2998;2756;2884;2609;3207;2768;2799;2685;2715;2775;2988;2892;2831;3151;2766;3221;2699;2866;2888;2925;2903;2831;2737;2863;2871;2904;2711;2911;3056;2688;2928;3131;2808;2682;2742;2989;2944;4361;8099;3715;2973;2937;2986;2878;2878;2900;3018;3391;2894;2722;3575;
16;cpp;5117;5961;5737;5551;5484;5311;5019;5848;5940;5641;5379;5615;5231;5148;5723;5082;5395;5372;5280;5357;5036;5003;5450;5141;5420;5765;5117;5013;6033;5758;5402;5137;5032;5397;6718;5196;5182;5378;5194;5599;5323;5240;5169;5741;5024;5334;7877;8005;6151;6377;5341;5327;5591;5267;5468;5807;5098;5476;5947;5261;5224;6232;5326;5012;6279;6702;6391;6723;7735;7293;6609;6856;6042;6920;6400;6215;6270;6200;6232;6411;5591;7450;9672;6144;5770;6261;6596;5238;5132;5349;5011;5546;6577;5583;5742;6685;6059;5544;5779;5723;
smol;
1;cpp;4115;2360;2753;2530;2521;2293;4147;2237;2257;2234;2029;2008;2591;2210;2086;2553;2267;2012;2496;2399;2494;1960;2215;2299;2074;1977;2004;2008;1956;2026;2390;2899;2819;2228;2618;2646;2874;2796;2106;2090;2253;2752;2134;2743;2799;2031;2649;2402;4993;3547;2688;4451;3275;2969;2602;2351;2329;2307;2820;3277;3096;4070;2254;3694;3788;2972;3086;5087;4822;4179;3992;2864;3815;2948;2762;2501;3971;2403;2465;2836;2238;2531;2748;2552;2849;2136;2032;2304;2077;2304;2516;2096;2817;2400;2850;2963;2661;2299;2465;2762;
2;cpp;2291;1786;2051;2230;2367;2245;2091;2211;2326;1983;1840;2009;1965;2171;1850;2349;2170;2424;1933;1863;1783;1700;2189;2355;2115;2089;2118;smol;
1;cpp;2640;863;1021;1015;909;996;836;1222;903;960;931;811;813;962;843;846;1069;927;958;914;812;799;939;792;846;817;941;911;811;845;897;1564;891;856;1000;822;801;1117;1107;992;903;876;852;879;944;1365;894;926;802;880;1034;832;1066;1095;876;1186;907;866;1356;821;843;821;892;863;933;974;819;920;856;911;818;906;926;909;1032;933;1464;883;849;1117;832;907;1135;878;904;1235;918;932;1185;902;950;945;1079;879;1245;861;1335;838;949;1255;
2;cpp;1022;1043;1211;1106;1003;1045;1110;1017;994;927;1191;1227;926;1025;1017;951;1345;996;1027;1121;1181;1382;1187;1052;1201;1076;1023;1111;1013;991;965;961;1030;1046;1010;952;1121;997;948;977;962;931;912;1236;878;999;1039;1057;999;1067;924;986;1207;1047;1031;953;917;1120;1024;997;1167;1221;1090;968;1021;1110;1026;1108;1016;3146;1698;1181;1049;1004;1093;990;1066;1039;996;1019;1120;1134;1135;947;984;1030;1061;1057;1032;1180;955;1074;1082;926;880;1113;1033;1094;1031;1009;
4;cpp;1528;3195;1560;1568;1436;1541;1467;1359;2171;1459;1334;1581;1625;1461;
